Date,Close
2020-03-19,45.25
2020-03-20,45.0
2020-03-23,40.0
2020-03-24,40.0
2020-03-25,41.01
2020-03-26,45.0
2020-03-27,45.24
2020-03-30,50.0
2020-03-31,50.0
2020-04-01,46.7
2020-04-02,44.0
2020-04-03,47.32
2020-04-06,45.94
2020-04-07,44.28
2020-04-08,44.09
2020-04-09,49.14
2020-04-13,46.0
2020-04-14,45.89
2020-04-15,44.55
2020-04-16,45.62
2020-04-17,46.15
2020-04-20,45.39
2020-04-21,45.9
2020-04-22,47.05
2020-04-23,47.47
2020-04-24,47.85
2020-04-27,48.22
2020-04-28,49.86
2020-04-29,51.15
2020-04-30,50.91
2020-05-01,49.71
2020-05-04,49.53
2020-05-05,48.09
2020-05-06,48.31
2020-05-07,51.81
2020-05-08,52.95
2020-05-11,51.81
2020-05-12,49.72
2020-05-13,48.21
2020-05-14,48.0
2020-05-15,48.89
2020-05-18,52.13
2020-05-19,52.31
2020-05-20,53.18
2020-05-21,52.03
2020-05-22,51.71
2020-05-26,50.89
2020-05-27,52.38
2020-05-28,50.96
2020-05-29,52.65
2020-06-01,54.08
2020-06-02,54.15
2020-06-03,55.47
2020-06-04,55.4
2020-06-05,58.57
2020-06-08,61.26
2020-06-09,60.65
2020-06-10,59.03
2020-06-11,56.25
2020-06-12,56.04
2020-06-15,57.67
2020-06-16,57.85
2020-06-17,56.74
2020-06-18,57.49
2020-06-19,57.0
2020-06-22,57.06
2020-06-23,56.8
2020-06-24,55.54
2020-06-25,56.2
2020-06-26,55.79
2020-06-29,56.57
2020-06-30,56.86
2020-07-01,55.78
2020-07-02,56.5
2020-07-06,56.86
2020-07-07,56.82
2020-07-08,56.92
2020-07-09,56.11
2020-07-10,56.98
2020-07-13,56.89
2020-07-14,57.37
2020-07-15,58.2
2020-07-16,58.32
2020-07-17,58.55
2020-07-20,58.56
2020-07-21,58.44
2020-07-22,58.48
2020-07-23,59.06
2020-07-24,58.13
2020-07-27,58.32
2020-07-28,60.28
2020-07-29,64.3
2020-07-30,63.39
2020-07-31,62.74
2020-08-03,63.21
2020-08-04,62.61
2020-08-05,63.09
2020-08-06,63.48
2020-08-07,64.41
2020-08-10,65.21
2020-08-11,64.37
2020-08-12,64.9
2020-08-13,64.0
2020-08-14,64.07
2020-08-17,63.96
2020-08-18,63.45
2020-08-19,62.92
2020-08-20,62.97
2020-08-21,63.63
2020-08-24,63.8
2020-08-25,64.29
2020-08-26,64.18
2020-08-27,63.23
2020-08-28,63.59
2020-08-31,62.9
2020-09-01,64.05
2020-09-02,65.34
2020-09-03,61.85
2020-09-04,61.49
2020-09-08,60.63
2020-09-09,62.08
2020-09-10,59.9
2020-09-11,60.14
2020-09-14,59.99
2020-09-15,60.3
2020-09-16,59.79
2020-09-17,61.04
2020-09-18,60.88
2020-09-21,59.41
2020-09-22,60.99
2020-09-23,60.41
2020-09-24,62.08
2020-09-25,61.55
2020-09-28,62.51
2020-09-29,62.41
2020-09-30,62.42
2020-10-01,62.37
2020-10-02,63.16
2020-10-05,64.54
2020-10-06,63.83
2020-10-07,65.05
2020-10-08,64.71
2020-10-09,65.35
2020-10-12,65.69
2020-10-13,65.13
2020-10-14,65.61
2020-10-15,65.2
2020-10-16,65.03
2020-10-19,64.36
2020-10-20,64.39
2020-10-21,63.72
2020-10-22,63.24
2020-10-23,63.45
2020-10-26,63.21
2020-10-27,61.97
2020-10-28,58.99
2020-10-29,60.79
2020-10-30,61.28
2020-11-02,62.14
2020-11-03,62.71
2020-11-04,62.3
2020-11-05,62.63
2020-11-06,63.58
2020-11-09,63.5
2020-11-10,65.74
2020-11-11,66.12
2020-11-12,65.99
2020-11-13,65.57
2020-11-16,67.39
2020-11-17,67.2
2020-11-18,66.63
2020-11-19,66.16
2020-11-20,66.32
2020-11-23,67.25
2020-11-24,67.4
2020-11-25,67.38
2020-11-27,67.34
2020-11-30,66.94
2020-12-01,66.83
2020-12-02,65.69
2020-12-03,65.49
2020-12-04,65.16
2020-12-07,64.85
2020-12-08,66.11
2020-12-09,65.49
2020-12-10,64.0
2020-12-11,63.73
2020-12-14,62.78
2020-12-15,64.73
2020-12-16,65.24
2020-12-17,65.79
2020-12-18,65.61
2020-12-21,66.15
2020-12-22,65.41
2020-12-23,65.63
2020-12-24,65.79
2020-12-28,66.0
2020-12-29,65.69
2020-12-30,66.72
2020-12-31,67.55
2021-01-04,65.59
2021-01-05,65.1
2021-01-06,66.91
2021-01-07,67.78
2021-01-08,66.83
2021-01-11,66.36
2021-01-12,65.23
2021-01-13,63.97
2021-01-14,64.94
2021-01-15,65.53
2021-01-19,65.37
2021-01-20,65.19
2021-01-21,63.52
2021-01-22,64.88
2021-01-25,64.22
2021-01-26,63.51
2021-01-27,62.24
2021-01-28,63.83
2021-01-29,64.65
2021-02-01,64.55
2021-02-02,64.64
2021-02-03,64.05
2021-02-04,63.29
2021-02-05,63.93
2021-02-08,63.73
2021-02-09,64.36
2021-02-10,65.31
2021-02-11,63.43
2021-02-12,63.93
2021-02-16,63.19
2021-02-17,62.69
2021-02-18,63.06
2021-02-19,63.04
