Date,Close
2010-12-15,27.25
2010-12-16,27.35
2010-12-17,28.07
2010-12-20,28.53
2010-12-21,29.75
2010-12-22,29.08
2010-12-23,30.81
2010-12-27,30.99
2010-12-28,31.06
2010-12-29,31.0
2010-12-30,30.8
2010-12-31,30.92
2011-01-03,30.47
2011-01-04,29.98
2011-01-05,30.4
2011-01-06,30.03
2011-01-07,29.99
2011-01-10,30.0
2011-01-11,31.14
2011-01-12,30.94
2011-01-13,30.2
2011-01-14,30.25
2011-01-18,30.23
2011-01-19,30.19
2011-01-20,30.05
2011-01-21,30.5
2011-01-24,31.57
2011-01-25,31.05
2011-01-26,31.3
2011-01-27,30.2
2011-01-28,29.98
2011-01-31,30.0
2011-02-01,30.04
2011-02-02,30.0
2011-02-03,30.0
2011-02-04,29.99
2011-02-07,30.51
2011-02-08,31.16
2011-02-09,31.28
2011-02-10,31.27
2011-02-11,31.51
2011-02-14,31.0
2011-02-15,31.0
2011-02-16,31.48
2011-02-17,32.5
2011-02-18,33.51
2011-02-22,31.96
2011-02-23,32.0
2011-02-24,32.49
2011-02-25,32.06
2011-02-28,31.99
2011-03-01,30.7
2011-03-02,30.07
2011-03-03,30.7
2011-03-04,30.75
2011-03-07,30.36
2011-03-08,30.44
2011-03-09,30.17
2011-03-10,30.25
2011-03-11,30.51
2011-03-14,31.33
2011-03-15,31.55
2011-03-16,31.43
2011-03-17,31.35
2011-03-18,31.58
2011-03-21,33.15
2011-03-22,32.73
2011-03-23,33.31
2011-03-24,33.17
2011-03-25,33.09
2011-03-28,34.4
2011-03-29,32.7
2011-03-30,32.47
2011-03-31,32.66
2011-04-01,34.08
2011-04-04,34.0
2011-04-05,33.82
2011-04-06,32.79
2011-04-07,33.33
2011-04-08,33.09
2011-04-11,33.37
2011-04-12,33.29
2011-04-13,33.49
2011-04-14,33.67
2011-04-15,34.26
2011-04-18,33.76
2011-04-19,34.22
2011-04-20,34.82
2011-04-21,34.64
2011-04-25,34.29
2011-04-26,34.63
2011-04-27,34.81
2011-04-28,36.79
2011-04-29,37.51
2011-05-02,36.13
2011-05-03,34.12
2011-05-04,34.09
2011-05-05,34.72
2011-05-06,33.18
2011-05-09,33.12
2011-05-10,33.78
2011-05-11,33.39
2011-05-12,33.61
2011-05-13,35.38
2011-05-16,35.15
2011-05-17,34.07
2011-05-18,35.0
2011-05-19,36.0
2011-05-20,35.5
2011-05-23,34.87
2011-05-24,34.34
2011-05-25,33.72
2011-05-26,33.69
2011-05-27,33.37
2011-05-31,33.74
2011-06-01,33.0
2011-06-02,32.91
2011-06-03,31.79
2011-06-06,31.08
2011-06-07,30.62
2011-06-08,30.0
2011-06-09,30.04
2011-06-10,29.16
2011-06-13,30.01
2011-06-14,30.16
2011-06-15,30.09
2011-06-16,30.07
2011-06-17,30.23
2011-06-20,30.0
2011-06-21,30.35
2011-06-22,30.1
2011-06-23,30.16
2011-06-24,30.04
2011-06-27,29.93
2011-06-28,29.87
2011-06-29,29.53
2011-06-30,29.64
2011-07-01,29.7
2011-07-05,29.53
2011-07-06,30.1
2011-07-07,29.7
2011-07-08,29.8
2011-07-11,29.98
2011-07-12,30.0
2011-07-13,30.15
2011-07-14,29.91
2011-07-15,29.62
2011-07-18,29.51
2011-07-19,29.72
2011-07-20,29.55
2011-07-21,29.51
2011-07-22,29.39
2011-07-25,29.16
2011-07-26,29.33
2011-07-27,29.3
2011-07-28,29.48
2011-07-29,29.64
2011-08-01,29.62
2011-08-02,29.19
2011-08-03,29.11
2011-08-04,28.4
2011-08-05,30.01
2011-08-08,26.97
2011-08-09,28.86
2011-08-10,28.42
2011-08-11,27.45
2011-08-12,26.96
2011-08-15,27.01
