Date,Close
2019-05-24,29.0
2019-05-28,28.76
2019-05-29,28.5
2019-05-30,28.8
2019-05-31,26.97
2019-06-03,24.81
2019-06-04,27.75
2019-06-05,28.01
2019-06-06,26.9
2019-06-07,26.31
2019-06-10,25.31
2019-06-11,24.95
2019-06-12,25.07
2019-06-13,24.97
2019-06-14,25.19
2019-06-17,25.95
2019-06-18,27.3
2019-06-19,27.15
2019-06-20,27.16
2019-06-21,27.21
2019-06-24,28.01
2019-06-25,27.67
2019-06-26,29.26
2019-06-27,29.57
2019-06-28,29.57
2019-07-01,29.68
2019-07-02,28.99
2019-07-03,28.8
2019-07-05,28.64
2019-07-08,27.77
2019-07-09,26.99
2019-07-10,26.5
2019-07-11,26.43
2019-07-12,27.6
2019-07-15,28.08
2019-07-16,27.86
2019-07-17,26.88
2019-07-18,26.65
2019-07-19,27.39
2019-07-22,27.76
2019-07-23,28.12
2019-07-24,28.32
2019-07-25,28.02
2019-07-26,28.48
2019-07-29,28.78
2019-07-30,29.13
2019-07-31,29.5
2019-08-01,31.25
2019-08-02,31.46
2019-08-05,29.9
2019-08-06,30.05
2019-08-07,30.64
2019-08-08,31.61
2019-08-09,31.63
2019-08-12,29.63
2019-08-13,29.6
2019-08-14,28.34
2019-08-15,28.42
2019-08-16,30.24
2019-08-19,30.57
2019-08-20,30.26
2019-08-21,30.58
2019-08-22,30.29
2019-08-23,29.05
2019-08-26,29.02
2019-08-27,28.73
2019-08-28,29.17
2019-08-29,29.71
2019-08-30,29.32
2019-09-03,28.23
2019-09-04,28.43
2019-09-05,28.46
2019-09-06,28.39
2019-09-09,28.75
2019-09-10,28.56
2019-09-11,29.27
2019-09-12,29.9
2019-09-13,30.12
2019-09-16,29.4
2019-09-17,28.98
2019-09-18,29.15
2019-09-19,29.14
2019-09-20,28.92
2019-09-23,28.88
2019-09-24,28.24
2019-09-25,28.2
2019-09-26,27.64
2019-09-27,27.8
2019-09-30,28.0
2019-10-01,27.55
2019-10-02,26.94
2019-10-03,26.88
2019-10-04,25.89
2019-10-07,26.0
2019-10-08,26.22
2019-10-09,26.17
2019-10-10,25.73
2019-10-11,26.66
2019-10-14,26.33
2019-10-15,26.7
2019-10-16,26.87
2019-10-17,26.77
2019-10-18,26.04
2019-10-21,25.5
2019-10-22,25.98
2019-10-23,25.61
2019-10-24,26.37
2019-10-25,26.73
2019-10-28,26.77
2019-10-29,26.78
2019-10-30,27.48
2019-10-31,26.38
2019-11-01,26.18
2019-11-04,25.74
2019-11-05,25.66
2019-11-06,26.13
2019-11-07,26.15
2019-11-08,26.2
2019-11-11,26.74
2019-11-12,26.72
2019-11-13,25.72
2019-11-14,26.38
2019-11-15,25.48
2019-11-18,25.48
2019-11-19,25.7
2019-11-20,24.98
2019-11-21,25.11
2019-11-22,25.54
2019-11-25,25.93
2019-11-26,25.88
2019-11-27,26.05
2019-11-29,26.02
2019-12-02,25.18
2019-12-03,24.65
2019-12-04,24.84
2019-12-05,24.82
2019-12-06,25.26
2019-12-09,25.77
2019-12-10,25.87
2019-12-11,26.2
2019-12-12,26.98
2019-12-13,26.49
2019-12-16,27.55
2019-12-17,26.77
2019-12-18,27.82
2019-12-19,27.71
2019-12-20,28.18
2019-12-23,28.66
2019-12-24,28.81
2019-12-26,29.19
2019-12-27,29.14
2019-12-30,28.86
2019-12-31,29.56
2020-01-02,28.74
2020-01-03,28.4
2020-01-06,28.36
2020-01-07,28.47
2020-01-08,28.7
2020-01-09,28.73
2020-01-10,28.35
2020-01-13,28.58
2020-01-14,28.64
