Date,Close
2007-01-03,13.35
2007-01-04,13.6
2007-01-05,13.64
2007-01-08,13.68
2007-01-09,13.7
2007-01-10,13.89
2007-01-11,14.1
2007-01-12,14.51
2007-01-16,14.35
2007-01-17,14.27
2007-01-18,14.35
2007-01-19,14.44
2007-01-22,14.0
2007-01-23,14.11
2007-01-24,14.17
2007-01-25,14.0
2007-01-26,13.99
2007-01-29,13.77
2007-01-30,16.69
2007-01-31,16.56
2007-02-01,16.61
2007-02-02,16.47
2007-02-05,16.22
2007-02-06,16.33
2007-02-07,16.42
2007-02-08,16.52
2007-02-09,16.22
2007-02-12,16.75
2007-02-13,16.99
2007-02-14,16.96
2007-02-15,17.46
2007-02-16,17.56
2007-02-20,17.88
2007-02-21,17.58
2007-02-22,17.51
2007-02-23,17.26
2007-02-26,16.98
2007-02-27,16.33
2007-02-28,16.42
2007-03-01,16.31
2007-03-02,16.46
2007-03-05,16.23
2007-03-06,16.4
2007-03-07,16.07
2007-03-08,16.52
2007-03-09,16.59
2007-03-12,16.79
2007-03-13,16.22
2007-03-14,16.7
2007-03-15,16.58
2007-03-16,16.0
2007-03-19,16.38
2007-03-20,16.06
2007-03-21,16.45
2007-03-22,16.43
2007-03-23,16.43
2007-03-26,16.25
2007-03-27,16.22
2007-03-28,16.25
2007-03-29,16.15
2007-03-30,15.86
2007-04-02,15.74
2007-04-03,16.57
2007-04-04,16.54
2007-04-05,16.7
2007-04-09,16.62
2007-04-10,17.21
2007-04-11,16.82
2007-04-12,16.69
2007-04-13,16.92
2007-04-16,17.06
2007-04-17,16.93
2007-04-18,16.56
2007-04-19,15.95
2007-04-20,16.75
2007-04-23,17.45
2007-04-24,17.31
2007-04-25,17.69
2007-04-26,23.6
2007-04-27,23.87
2007-04-30,22.66
2007-05-01,23.9
2007-05-02,23.4
2007-05-03,23.93
2007-05-04,23.5
2007-05-07,23.47
2007-05-08,23.33
2007-05-09,23.32
2007-05-10,22.58
2007-05-11,23.1
2007-05-14,22.61
2007-05-15,22.34
2007-05-16,22.6
2007-05-17,22.22
2007-05-18,22.36
2007-05-21,22.68
2007-05-22,22.51
2007-05-23,22.67
2007-05-24,22.3
2007-05-25,22.64
2007-05-29,22.6
2007-05-30,22.94
2007-05-31,22.79
2007-06-01,22.7
2007-06-04,23.38
2007-06-05,23.22
2007-06-06,23.03
2007-06-07,22.25
2007-06-08,23.11
2007-06-11,23.44
2007-06-12,23.03
2007-06-13,23.68
2007-06-14,24.44
2007-06-15,24.5
2007-06-18,24.83
2007-06-19,24.65
2007-06-20,24.57
2007-06-21,24.89
2007-06-22,24.26
2007-06-25,23.59
2007-06-26,23.66
2007-06-27,23.88
2007-06-28,24.41
2007-06-29,24.16
2007-07-02,24.3
2007-07-03,24.35
2007-07-05,24.5
2007-07-06,24.55
2007-07-09,24.73
2007-07-10,24.46
2007-07-11,25.74
2007-07-12,25.72
2007-07-13,25.8
2007-07-16,25.97
2007-07-17,26.25
2007-07-18,25.98
2007-07-19,26.01
2007-07-20,26.02
2007-07-23,26.0
2007-07-24,25.84
2007-07-25,27.69
2007-07-26,27.62
2007-07-27,27.08
2007-07-30,27.01
2007-07-31,26.1
2007-08-01,25.95
2007-08-02,26.56
2007-08-03,25.64
2007-08-06,26.9
2007-08-07,27.04
2007-08-08,27.29
2007-08-09,26.93
2007-08-10,26.48
2007-08-13,26.04
2007-08-14,26.57
2007-08-15,26.16
