Date,Close
2010-02-11,12.84
2010-02-12,13.41
2010-02-16,13.32
2010-02-17,13.3
2010-02-18,13.03
2010-02-19,13.23
2010-02-22,13.09
2010-02-23,13.07
2010-02-24,13.05
2010-02-25,13.2
2010-02-26,13.43
2010-03-01,13.25
2010-03-02,13.23
2010-03-03,13.14
2010-03-04,13.25
2010-03-05,13.1
2010-03-08,13.48
2010-03-09,13.58
2010-03-10,13.75
2010-03-11,13.99
2010-03-12,14.15
2010-03-15,14.99
2010-03-16,15.33
2010-03-17,15.4
2010-03-18,15.39
2010-03-19,15.4
2010-03-22,15.11
2010-03-23,15.15
2010-03-24,15.18
2010-03-25,15.02
2010-03-26,14.75
2010-03-29,14.42
2010-03-30,14.14
2010-03-31,14.01
2010-04-01,14.3
2010-04-05,14.4
2010-04-06,14.79
2010-04-07,14.9
2010-04-08,15.38
2010-04-09,15.31
2010-04-12,15.24
2010-04-13,15.22
2010-04-14,15.23
2010-04-15,15.3
2010-04-16,15.29
2010-04-19,15.25
2010-04-20,15.19
2010-04-21,15.31
2010-04-22,15.4
2010-04-23,15.35
2010-04-26,15.23
2010-04-27,15.21
2010-04-28,15.21
2010-04-29,15.25
2010-04-30,15.09
2010-05-03,15.18
2010-05-04,14.81
2010-05-05,14.69
2010-05-06,14.1
2010-05-07,13.52
2010-05-10,13.64
2010-05-11,14.12
2010-05-12,14.12
2010-05-13,13.77
2010-05-14,13.48
2010-05-17,13.11
2010-05-18,12.91
2010-05-19,12.98
2010-05-20,12.04
2010-05-21,11.82
2010-05-24,11.29
2010-05-25,10.85
2010-05-26,10.88
2010-05-27,11.01
2010-05-28,10.99
2010-06-01,10.65
2010-06-02,11.93
2010-06-03,12.97
2010-06-04,12.43
2010-06-07,12.5
2010-06-08,12.77
2010-06-09,12.59
2010-06-10,12.84
2010-06-11,13.12
2010-06-14,13.4
2010-06-15,13.85
2010-06-16,13.54
2010-06-17,13.67
2010-06-18,13.8
2010-06-21,13.91
2010-06-22,13.82
2010-06-23,13.83
2010-06-24,13.87
2010-06-25,15.15
2010-06-28,15.21
2010-06-29,14.9
2010-06-30,14.01
2010-07-01,14.28
2010-07-02,14.27
2010-07-06,13.78
2010-07-07,14.59
2010-07-08,14.94
2010-07-09,15.01
2010-07-12,14.71
2010-07-13,14.79
2010-07-14,14.8
2010-07-15,14.7
2010-07-16,14.38
2010-07-19,14.33
2010-07-20,14.6
2010-07-21,14.42
2010-07-22,14.92
2010-07-23,15.07
2010-07-26,15.06
2010-07-27,14.99
2010-07-28,14.55
2010-07-29,14.72
2010-07-30,14.77
2010-08-02,15.07
2010-08-03,15.03
2010-08-04,15.08
2010-08-05,14.89
2010-08-06,14.47
2010-08-09,14.4
2010-08-10,13.87
2010-08-11,13.11
2010-08-12,13.01
2010-08-13,12.76
2010-08-16,13.29
2010-08-17,13.44
2010-08-18,12.99
2010-08-19,12.41
2010-08-20,12.58
2010-08-23,12.25
2010-08-24,12.15
2010-08-25,12.13
2010-08-26,12.0
2010-08-27,12.51
2010-08-30,11.99
2010-08-31,12.12
2010-09-01,12.88
2010-09-02,13.02
2010-09-03,13.09
2010-09-07,13.23
2010-09-08,13.66
2010-09-09,13.74
2010-09-10,13.36
2010-09-13,14.04
2010-09-14,13.87
2010-09-15,13.36
2010-09-16,13.29
2010-09-17,13.15
2010-09-20,13.26
2010-09-21,12.99
2010-09-22,12.39
2010-09-23,12.29
2010-09-24,13.25
2010-09-27,13.2
2010-09-28,13.01
2010-09-29,13.61
2010-09-30,13.64
2010-10-01,14.03
2010-10-04,14.0
2010-10-05,14.27
2010-10-06,14.54
2010-10-07,13.91
2010-10-08,14.12
2010-10-11,14.51
2010-10-12,14.36
2010-10-13,14.29
2010-10-14,13.88
2010-10-15,13.5
2010-10-18,13.76
2010-10-19,13.71
2010-10-20,13.85
2010-10-21,13.78
2010-10-22,13.76
2010-10-25,13.9
2010-10-26,13.8
2010-10-27,13.69
2010-10-28,13.48
2010-10-29,13.53
2010-11-01,13.04
2010-11-02,13.11
2010-11-03,13.12
2010-11-04,14.0
2010-11-05,14.04
2010-11-08,14.24
2010-11-09,13.92
2010-11-10,13.98
2010-11-11,14.25
2010-11-12,14.22
2010-11-15,14.74
2010-11-16,14.69
2010-11-17,14.51
2010-11-18,14.58
2010-11-19,14.98
2010-11-22,15.28
2010-11-23,15.29
2010-11-24,15.77
2010-11-26,15.75
2010-11-29,15.76
2010-11-30,14.86
2010-12-01,15.73
2010-12-02,15.86
2010-12-03,15.85
2010-12-06,15.84
2010-12-07,15.8
2010-12-08,15.85
2010-12-09,15.88
2010-12-10,15.87
2010-12-13,15.75
2010-12-14,15.82
2010-12-15,15.82
2010-12-16,15.89
2010-12-17,16.11
2010-12-20,16.18
2010-12-21,16.42
2010-12-22,16.51
2010-12-23,16.33
2010-12-27,16.33
2010-12-28,16.29
2010-12-29,16.25
2010-12-30,16.14
2010-12-31,16.17
2011-01-03,16.13
2011-01-04,16.0
2011-01-05,16.18
2011-01-06,16.39
2011-01-07,16.5
2011-01-10,16.71
2011-01-11,16.84
2011-01-12,16.73
2011-01-13,16.89
2011-01-14,16.99
2011-01-18,16.99
2011-01-19,16.44
2011-01-20,16.25
2011-01-21,16.25
2011-01-24,16.29
2011-01-25,16.37
2011-01-26,16.53
2011-01-27,16.61
2011-01-28,15.69
2011-01-31,14.9
2011-02-01,15.68
2011-02-02,16.08
2011-02-03,16.43
2011-02-04,15.84
2011-02-07,16.03
2011-02-08,15.27
2011-02-09,15.02
2011-02-10,14.93
2011-02-11,15.32
2011-02-14,15.72
2011-02-15,15.9
2011-02-16,15.92
2011-02-17,16.25
2011-02-18,17.42
2011-02-22,17.99
2011-02-23,16.98
2011-02-24,17.66
2011-02-25,18.6
2011-02-28,18.33
2011-03-01,17.84
2011-03-02,17.92
2011-03-03,18.12
2011-03-04,17.99
2011-03-07,18.04
2011-03-08,18.62
2011-03-09,18.31
2011-03-10,17.94
2011-03-11,18.52
2011-03-14,18.46
2011-03-15,18.34
2011-03-16,18.54
2011-03-17,18.32
2011-03-18,19.07
2011-03-21,19.3
2011-03-22,19.16
2011-03-23,19.06
2011-03-24,18.78
2011-03-25,18.71
2011-03-28,18.89
2011-03-29,20.06
2011-03-30,20.19
2011-03-31,20.29
2011-04-01,20.2
2011-04-04,20.17
2011-04-05,19.98
2011-04-06,19.81
2011-04-07,19.63
2011-04-08,19.77
2011-04-11,19.75
2011-04-12,19.64
2011-04-13,19.75
2011-04-14,20.43
2011-04-15,20.24
2011-04-18,20.26
2011-04-19,20.39
2011-04-20,20.5
2011-04-21,20.59
2011-04-25,20.45
2011-04-26,20.6
2011-04-27,20.43
2011-04-28,20.66
2011-04-29,20.82
2011-05-02,20.63
2011-05-03,20.44
2011-05-04,19.04
2011-05-05,18.7
2011-05-06,18.56
2011-05-09,18.83
2011-05-10,18.95
2011-05-11,18.61
2011-05-12,18.66
2011-05-13,18.16
2011-05-16,17.75
2011-05-17,17.78
2011-05-18,18.38
2011-05-19,18.52
2011-05-20,18.35
2011-05-23,18.0
2011-05-24,17.94
2011-05-25,18.47
2011-05-26,17.97
2011-05-27,18.1
2011-05-31,18.41
2011-06-01,17.56
2011-06-02,17.76
2011-06-03,17.25
2011-06-06,17.65
2011-06-07,18.01
2011-06-08,17.9
2011-06-09,17.59
2011-06-10,17.97
2011-06-13,17.9
2011-06-14,18.14
2011-06-15,17.95
2011-06-16,17.99
2011-06-17,17.86
2011-06-20,18.04
2011-06-21,18.54
2011-06-22,18.64
2011-06-23,19.06
2011-06-24,18.78
2011-06-27,19.25
2011-06-28,19.31
2011-06-29,19.29
2011-06-30,19.4
2011-07-01,19.62
2011-07-05,19.52
2011-07-06,19.51
2011-07-07,19.55
2011-07-08,19.7
2011-07-11,19.28
2011-07-12,19.3
2011-07-13,19.81
2011-07-14,19.42
2011-07-15,19.76
2011-07-18,19.26
2011-07-19,19.86
2011-07-20,20.06
2011-07-21,20.65
2011-07-22,20.42
2011-07-25,20.36
2011-07-26,19.38
2011-07-27,18.76
2011-07-28,18.75
2011-07-29,18.55
2011-08-01,18.6
2011-08-02,18.25
2011-08-03,18.41
2011-08-04,17.36
2011-08-05,18.56
2011-08-08,16.71
2011-08-09,18.05
2011-08-10,17.05
2011-08-11,18.06
2011-08-12,18.51
2011-08-15,19.47
2011-08-16,19.2
2011-08-17,18.63
2011-08-18,17.31
2011-08-19,16.52
2011-08-22,17.15
2011-08-23,18.76
2011-08-24,19.23
2011-08-25,19.45
2011-08-26,20.31
2011-08-29,20.5
2011-08-30,20.27
2011-08-31,20.61
2011-09-01,20.27
2011-09-02,19.35
2011-09-06,19.17
2011-09-07,19.43
2011-09-08,19.1
2011-09-09,18.7
2011-09-12,18.67
2011-09-13,18.8
2011-09-14,18.63
2011-09-15,18.81
2011-09-16,18.6
2011-09-19,18.55
2011-09-20,18.41
2011-09-21,17.31
2011-09-22,15.73
2011-09-23,15.57
2011-09-26,18.59
2011-09-27,18.28
2011-09-28,17.67
2011-09-29,18.19
2011-09-30,18.81
2011-10-03,18.62
2011-10-04,19.59
2011-10-05,19.79
2011-10-06,20.9
2011-10-07,20.09
2011-10-10,21.36
2011-10-11,20.91
2011-10-12,20.77
2011-10-13,20.72
2011-10-14,21.44
2011-10-17,20.68
2011-10-18,21.23
2011-10-19,21.06
2011-10-20,21.0
2011-10-21,21.32
2011-10-24,21.79
2011-10-25,20.8
2011-10-26,21.38
2011-10-27,22.18
2011-10-28,22.1
2011-10-31,22.86
2011-11-01,23.23
2011-11-02,23.92
2011-11-03,24.73
2011-11-04,24.1
2011-11-07,24.13
2011-11-08,25.17
2011-11-09,24.89
2011-11-10,24.96
2011-11-11,25.19
2011-11-14,24.64
2011-11-15,24.45
2011-11-16,23.76
2011-11-17,23.61
2011-11-18,23.9
2011-11-21,23.75
2011-11-22,23.65
2011-11-23,22.7
2011-11-25,22.31
2011-11-28,23.88
2011-11-29,23.93
2011-11-30,25.07
2011-12-01,24.85
2011-12-02,24.79
2011-12-05,25.57
2011-12-06,25.51
2011-12-07,26.45
2011-12-08,26.56
2011-12-09,27.61
2011-12-12,28.2
2011-12-13,27.26
2011-12-14,26.71
2011-12-15,27.73
2011-12-16,28.42
2011-12-19,27.63
2011-12-20,28.28
2011-12-21,28.82
2011-12-22,28.31
2011-12-23,28.44
2011-12-27,28.47
2011-12-28,28.29
2011-12-29,28.45
2011-12-30,28.03
2012-01-03,28.07
2012-01-04,27.87
2012-01-05,27.46
2012-01-06,27.65
2012-01-09,28.31
2012-01-10,28.82
2012-01-11,29.45
2012-01-12,29.67
2012-01-13,29.54
2012-01-17,29.63
2012-01-18,29.95
2012-01-19,29.74
2012-01-20,29.43
2012-01-23,29.65
2012-01-24,29.36
2012-01-25,30.09
2012-01-26,29.9
2012-01-27,29.87
2012-01-30,29.24
2012-01-31,29.06
2012-02-01,29.15
2012-02-02,28.25
2012-02-03,29.09
2012-02-06,28.9
2012-02-07,28.44
2012-02-08,29.29
2012-02-09,28.95
2012-02-10,28.91
2012-02-13,29.59
2012-02-14,26.28
2012-02-15,25.43
2012-02-16,25.74
2012-02-17,26.79
2012-02-21,27.21
2012-02-22,27.14
2012-02-23,27.14
2012-02-24,26.98
2012-02-27,26.58
2012-02-28,25.82
2012-02-29,25.44
2012-03-01,24.92
2012-03-02,24.85
2012-03-05,24.89
